date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:25:07	74320/74320	---M--	200	added ('OK')	font/woff2	date:Wed,%2026%20Feb%202020%2005:23:02%20GMT	https://affixtheme.com/html/xmee/demo/webfonts/fa-solid-900.woff2	C:/Users/admin/Desktop/salima/sta/affixtheme.com/html/xmee/demo/webfonts/fa-solid-900.woff2	(from https://affixtheme.com/html/xmee/demo/css/fontawesome-all.min.css)
10:25:08	186512/186512	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Wed,%2026%20Feb%202020%2005:23:02%20GMT	https://affixtheme.com/html/xmee/demo/webfonts/fa-solid-900.eot?	C:/Users/admin/Desktop/salima/sta/affixtheme.com/html/xmee/demo/webfonts/fa-solid-900d41d.eot	(from https://affixtheme.com/html/xmee/demo/css/fontawesome-all.min.css)
10:25:08	96248/96248	---M--	200	added ('OK')	font/woff	date:Wed,%2026%20Feb%202020%2005:23:02%20GMT	https://affixtheme.com/html/xmee/demo/webfonts/fa-solid-900.woff	C:/Users/admin/Desktop/salima/sta/affixtheme.com/html/xmee/demo/webfonts/fa-solid-900.woff	(from https://affixtheme.com/html/xmee/demo/css/fontawesome-all.min.css)
10:25:08	186228/186228	---M--	200	added ('OK')	font/ttf	date:Wed,%2026%20Feb%202020%2005:23:02%20GMT	https://affixtheme.com/html/xmee/demo/webfonts/fa-solid-900.ttf	C:/Users/admin/Desktop/salima/sta/affixtheme.com/html/xmee/demo/webfonts/fa-solid-900.ttf	(from https://affixtheme.com/html/xmee/demo/css/fontawesome-all.min.css)
10:25:08	1237/1237	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2004%20Jul%202020%2009:25:08%20GMT	https://affixtheme.com/html/xmee/demo/webfonts/fa-solid-900.svg	C:/Users/admin/Desktop/salima/sta/affixtheme.com/html/xmee/demo/webfonts/fa-solid-900.svg	(from https://affixtheme.com/html/xmee/demo/css/fontawesome-all.min.css)
10:25:09	4278/4278	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Wed,%2026%20Feb%202020%2005:22:58%20GMT	https://affixtheme.com/html/xmee/demo/font/Flaticon.eot	C:/Users/admin/Desktop/salima/sta/affixtheme.com/html/xmee/demo/font/Flaticon.eot	(from https://affixtheme.com/html/xmee/demo/font/flaticon.css)
10:25:09	4278/4278	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Wed,%2026%20Feb%202020%2005:22:58%20GMT	https://affixtheme.com/html/xmee/demo/font/Flaticon.eot?	C:/Users/admin/Desktop/salima/sta/affixtheme.com/html/xmee/demo/font/Flaticond41d.eot	(from https://affixtheme.com/html/xmee/demo/font/flaticon.css)
10:25:09	2368/2368	---M--	200	added ('OK')	font/woff2	date:Wed,%2026%20Feb%202020%2005:22:58%20GMT	https://affixtheme.com/html/xmee/demo/font/Flaticon.woff2	C:/Users/admin/Desktop/salima/sta/affixtheme.com/html/xmee/demo/font/Flaticon.woff2	(from https://affixtheme.com/html/xmee/demo/font/flaticon.css)
10:25:09	2972/2972	---M--	200	added ('OK')	font/woff	date:Wed,%2026%20Feb%202020%2005:22:58%20GMT	https://affixtheme.com/html/xmee/demo/font/Flaticon.woff	C:/Users/admin/Desktop/salima/sta/affixtheme.com/html/xmee/demo/font/Flaticon.woff	(from https://affixtheme.com/html/xmee/demo/font/flaticon.css)
10:25:09	4100/4100	---M--	200	added ('OK')	font/ttf	date:Wed,%2026%20Feb%202020%2005:22:58%20GMT	https://affixtheme.com/html/xmee/demo/font/Flaticon.ttf	C:/Users/admin/Desktop/salima/sta/affixtheme.com/html/xmee/demo/font/Flaticon.ttf	(from https://affixtheme.com/html/xmee/demo/font/flaticon.css)
10:25:10	15197/15197	---M-Z	200	added ('OK')	image/svg+xml	date:Wed,%2026%20Feb%202020%2005:22:58%20GMT	https://affixtheme.com/html/xmee/demo/font/Flaticon.svg	C:/Users/admin/Desktop/salima/sta/affixtheme.com/html/xmee/demo/font/Flaticon.svg	(from https://affixtheme.com/html/xmee/demo/font/flaticon.css)
10:25:10	4713/4713	---M-Z	200	added ('OK')	text/html	date:Wed,%2029%20Apr%202020%2003:35:44%20GMT	https://affixtheme.com/html/xmee/demo/forgot-password-1.html	C:/Users/admin/Desktop/salima/sta/affixtheme.com/html/xmee/demo/forgot-password-1.html	(from https://affixtheme.com/html/xmee/demo/login-1.html)
10:25:11	108492/108492	---M--	200	added ('OK')	image/jpeg	date:Mon,%2009%20Mar%202020%2004:57:22%20GMT	https://affixtheme.com/html/xmee/demo/img/figure/bg1-l.jpg	C:/Users/admin/Desktop/salima/sta/affixtheme.com/html/xmee/demo/img/figure/bg1-l.jpg	(from https://affixtheme.com/html/xmee/demo/login-1.html)
